Run 14989
Subrun 399
Event 3990044
15.02 -9.15 10.35
15.02 -6.75 73.35
15.02 -4.35 64.35
15.02 -6.75 46.35
15.02 -4.35 46.35
15.02 -4.35 23.85
15.02 -4.35 32.85
15.02 -4.35 19.35
15.02 -4.35 28.35
15.02 -6.75 55.35
15.02 -6.75 59.85
15.02 -4.35 41.85
15.02 -4.35 14.85
15.02 -4.35 37.35
16.22 -9.45 10.35
16.22 -7.05 73.35
16.22 -4.65 64.35
16.22 -7.05 46.35
16.22 -4.65 46.35
16.22 -4.65 23.85
16.22 -4.65 32.85
16.22 -4.65 19.35
16.22 -4.65 28.35
16.22 -7.05 55.35
16.22 -7.05 59.85
16.22 -4.65 41.85
16.22 -4.65 14.85
16.22 -4.65 37.35
16.22 -7.05 50.85
16.22 -4.65 77.85
16.88 -10.05 10.35
16.88 -7.65 73.35
16.88 -5.25 64.35
16.88 -7.65 46.35
16.88 -5.25 46.35
16.88 -5.25 23.85
16.88 -5.25 32.85
16.88 -5.25 19.35
16.88 -5.25 28.35
16.88 -7.65 55.35
16.88 -7.65 59.85
16.88 -5.25 41.85
16.88 -5.25 14.85
16.88 -5.25 37.35
16.88 -7.65 50.85
16.88 -5.25 77.85
40.48 -5.25 50.85
40.48 -5.25 46.35
40.48 -5.25 32.85
40.48 -5.25 41.85
40.48 -5.25 23.85
40.48 -5.25 14.85
40.48 -5.25 10.35
40.48 -5.25 19.35
16.76 -10.35 10.35
16.76 -7.95 73.35
16.76 -5.55 64.35
16.76 -7.95 46.35
16.76 -5.55 46.35
16.76 -5.55 23.85
16.76 -5.55 32.85
16.76 -5.55 19.35
16.76 -5.55 28.35
16.76 -7.95 55.35
16.76 -7.95 59.85
16.76 -5.55 41.85
16.76 -5.55 14.85
16.76 -5.55 37.35
16.76 -7.95 50.85
40.78 -5.55 46.35
40.78 -5.55 32.85
40.78 -5.55 23.85
40.78 -5.55 14.85
40.78 -5.55 10.35
40.78 -5.55 19.35
17.36 -8.55 10.65
17.36 -6.15 73.65
17.36 -3.75 64.65
17.36 -6.15 46.65
17.36 -3.75 46.65
17.36 -3.75 24.15
17.36 -3.75 33.15
17.36 -3.75 19.65
17.36 -3.75 28.65
17.36 -6.15 55.65
17.36 -6.15 60.15
17.36 -3.75 42.15
17.36 -3.75 15.15
17.36 -3.75 37.65
17.36 -6.15 51.15
17.36 -3.75 78.15
17.36 -6.15 78.15
15.62 -8.85 10.65
15.62 -6.45 73.65
15.62 -4.05 64.65
15.62 -6.45 46.65
15.62 -4.05 46.65
15.62 -4.05 24.15
15.62 -4.05 33.15
15.62 -4.05 19.65
15.62 -4.05 28.65
15.62 -6.45 55.65
15.62 -6.45 60.15
15.62 -4.05 42.15
15.62 -4.05 15.15
15.62 -4.05 37.65
15.58 -9.15 10.65
15.58 -6.75 73.65
15.58 -4.35 64.65
15.58 -6.75 46.65
15.58 -4.35 46.65
15.58 -4.35 24.15
15.58 -4.35 33.15
15.58 -4.35 19.65
15.58 -4.35 28.65
15.58 -6.75 55.65
15.58 -6.75 60.15
15.58 -4.35 42.15
15.58 -4.35 15.15
15.58 -4.35 37.65
16.88 -10.05 10.65
16.88 -7.65 73.65
16.88 -5.25 64.65
16.88 -7.65 46.65
16.88 -5.25 46.65
16.88 -5.25 24.15
16.88 -5.25 33.15
16.88 -5.25 19.65
16.88 -5.25 28.65
16.88 -7.65 55.65
16.88 -7.65 60.15
16.88 -5.25 42.15
16.88 -5.25 15.15
16.88 -5.25 37.65
16.88 -7.65 51.15
40.18 -5.25 51.15
40.18 -5.25 46.65
40.18 -5.25 55.65
40.18 -5.25 33.15
40.18 -5.25 42.15
40.18 -5.25 24.15
40.18 -5.25 15.15
40.18 -5.25 10.65
40.18 -5.25 19.65
16.76 -10.35 10.65
16.76 -7.95 73.65
16.76 -5.55 64.65
16.76 -7.95 46.65
16.76 -5.55 46.65
16.76 -5.55 24.15
16.76 -5.55 33.15
16.76 -5.55 19.65
16.76 -5.55 28.65
16.76 -7.95 55.65
16.76 -7.95 60.15
16.76 -5.55 42.15
16.76 -5.55 15.15
16.76 -5.55 37.65
16.76 -7.95 51.15
40.96 -5.55 46.65
40.96 -5.55 33.15
40.96 -5.55 24.15
40.96 -5.55 15.15
40.96 -5.55 10.65
40.96 -5.55 19.65
40 -5.55 46.65
40 -5.55 33.15
40 -5.55 42.15
40 -5.55 24.15
40 -5.55 15.15
40 -5.55 10.65
40 -5.55 19.65
41.1 -5.85 33.15
41.1 -5.85 24.15
41.1 -5.85 15.15
41.1 -5.85 10.65
41.1 -5.85 19.65
41.28 -3.75 33.45
41.28 -3.75 24.45
41.28 -3.75 15.45
41.28 -3.75 10.95
41.28 -3.75 19.95
16.98 -8.55 10.95
16.98 -6.15 73.95
16.98 -3.75 64.95
16.98 -6.15 46.95
16.98 -3.75 46.95
16.98 -3.75 24.45
16.98 -3.75 33.45
16.98 -3.75 19.95
16.98 -3.75 28.95
16.98 -6.15 55.95
16.98 -6.15 60.45
16.98 -3.75 42.45
16.98 -3.75 15.45
16.98 -3.75 37.95
16.98 -6.15 51.45
16.98 -3.75 78.45
40.76 -4.05 46.95
40.76 -4.05 33.45
40.76 -4.05 24.45
40.76 -4.05 15.45
40.76 -4.05 10.95
40.76 -4.05 19.95
15.5 -8.85 10.95
15.5 -6.45 73.95
15.5 -4.05 64.95
15.5 -6.45 46.95
15.5 -4.05 46.95
15.5 -4.05 24.45
15.5 -4.05 33.45
15.5 -4.05 19.95
15.5 -4.05 28.95
15.5 -6.45 55.95
15.5 -6.45 60.45
15.5 -4.05 42.45
15.5 -4.05 15.45
15.5 -4.05 37.95
15.24 -9.15 10.95
15.24 -6.75 73.95
15.24 -4.35 64.95
15.24 -6.75 46.95
15.24 -4.35 46.95
15.24 -4.35 24.45
15.24 -4.35 33.45
15.24 -4.35 19.95
15.24 -4.35 28.95
15.24 -6.75 55.95
15.24 -6.75 60.45
15.24 -4.35 42.45
15.24 -4.35 15.45
15.24 -4.35 37.95
40.56 -4.35 46.95
40.56 -4.35 33.45
40.56 -4.35 24.45
40.56 -4.35 15.45
40.56 -4.35 10.95
40.56 -4.35 19.95
16.88 -10.05 10.95
16.88 -7.65 73.95
16.88 -5.25 64.95
16.88 -7.65 46.95
16.88 -5.25 46.95
16.88 -5.25 24.45
16.88 -5.25 33.45
16.88 -5.25 19.95
16.88 -5.25 28.95
16.88 -7.65 55.95
16.88 -7.65 60.45
16.88 -5.25 42.45
16.88 -5.25 15.45
16.88 -5.25 37.95
16.88 -7.65 51.45
16.88 -5.25 78.45
40.18 -5.25 51.45
40.18 -5.25 46.95
40.18 -5.25 55.95
40.18 -5.25 33.45
40.18 -5.25 42.45
40.18 -5.25 24.45
40.18 -5.25 15.45
40.18 -5.25 10.95
40.18 -5.25 19.95
15.2 -10.05 10.95
15.2 -7.65 73.95
15.2 -5.25 64.95
15.2 -7.65 46.95
15.2 -5.25 46.95
15.2 -5.25 24.45
15.2 -5.25 33.45
15.2 -5.25 19.95
15.2 -5.25 28.95
15.2 -7.65 55.95
15.2 -7.65 60.45
15.2 -5.25 42.45
15.2 -5.25 15.45
15.2 -5.25 37.95
16.78 -10.35 10.95
16.78 -7.95 73.95
16.78 -5.55 64.95
16.78 -7.95 46.95
16.78 -5.55 46.95
16.78 -5.55 24.45
16.78 -5.55 33.45
16.78 -5.55 19.95
16.78 -5.55 28.95
16.78 -7.95 55.95
16.78 -7.95 60.45
16.78 -5.55 42.45
16.78 -5.55 15.45
16.78 -5.55 37.95
16.78 -7.95 51.45
40.98 -5.55 46.95
40.98 -5.55 33.45
40.98 -5.55 24.45
40.98 -5.55 15.45
40.98 -5.55 10.95
40.98 -5.55 19.95
41.5 -5.85 24.45
41.5 -5.85 15.45
41.5 -5.85 10.95
41.5 -5.85 19.95
15.58 -8.85 11.25
15.58 -6.45 74.25
15.58 -4.05 65.25
15.58 -6.45 47.25
15.58 -4.05 47.25
15.58 -4.05 24.75
15.58 -4.05 33.75
15.58 -4.05 20.25
15.58 -4.05 29.25
15.58 -6.45 56.25
15.58 -6.45 60.75
15.58 -4.05 42.75
15.58 -4.05 15.75
15.58 -4.05 38.25
15.58 -6.45 51.75
15.42 -9.15 11.25
15.42 -6.75 74.25
15.42 -4.35 65.25
15.42 -6.75 47.25
15.42 -4.35 47.25
15.42 -4.35 24.75
15.42 -4.35 33.75
15.42 -4.35 20.25
15.42 -4.35 29.25
15.42 -6.75 56.25
15.42 -6.75 60.75
15.42 -4.35 42.75
15.42 -4.35 15.75
15.42 -4.35 38.25
16.88 -10.05 11.25
16.88 -7.65 74.25
16.88 -5.25 65.25
16.88 -7.65 47.25
16.88 -5.25 47.25
16.88 -5.25 24.75
16.88 -5.25 33.75
16.88 -5.25 20.25
16.88 -5.25 29.25
16.88 -7.65 56.25
16.88 -7.65 60.75
16.88 -5.25 42.75
16.88 -5.25 15.75
16.88 -5.25 38.25
16.88 -7.65 51.75
16.88 -5.25 78.75
15.14 -10.05 11.25
15.14 -7.65 74.25
15.14 -5.25 65.25
15.14 -7.65 47.25
15.14 -5.25 47.25
15.14 -5.25 24.75
15.14 -5.25 33.75
15.14 -5.25 20.25
15.14 -5.25 29.25
15.14 -7.65 56.25
15.14 -7.65 60.75
15.14 -5.25 42.75
15.14 -5.25 15.75
15.14 -5.25 38.25
39.88 -5.25 51.75
