Run 14942
Subrun 120
Event 1200010
53.1018 5.85 50.15
46.9895 -13.65 54.65
46.8738 -13.95 54.65
56.9195 17.25 50.15
57.1702 9.75 54.65
47.2209 -14.25 54.65
46.8738 -14.25 54.65
47.163 -14.55 54.65
57.3437 9.45 54.65
53.1789 4.65 50.15
57.4594 9.15 54.65
53.0825 4.35 50.15
47.2209 -15.15 54.65
56.3411 15.75 54.05
51.887 -5.85 54.05
54.8178 10.95 54.05
52.6004 3.75 54.05
55.4927 13.35 54.05
53.9887 6.15 54.05
56.4375 16.05 54.05
54.8757 6.45 54.05
54.8757 11.25 54.05
56.129 13.65 54.05
55.512 13.65 54.05
51.9834 -5.55 54.05
54.1237 6.45 54.05
53.3717 6.45 54.05
51.2122 -5.55 54.05
55.8205 13.65 54.05
52.6197 4.05 54.05
50.6337 -5.55 54.05
53.4681 6.75 54.05
55.7241 13.95 54.05
54.9142 11.55 54.05
52.0606 -5.25 54.05
52.7547 4.35 54.05
56.0712 13.95 54.05
51.3857 -5.25 54.05
54.1815 6.75 54.05
56.5532 16.35 54.05
55.8205 14.25 54.05
53.5838 7.05 54.05
55.0107 11.85 54.05
50.6723 -4.95 54.05
54.2201 7.05 54.05
52.1763 -4.95 54.05
52.8125 4.65 54.05
51.3471 -4.95 54.05
53.6802 7.35 54.05
55.9362 14.55 54.05
55.1649 12.15 54.05
52.909 4.95 54.05
52.2341 -4.65 54.05
50.8073 -4.65 54.05
54.3165 7.35 54.05
49.419 -14.25 58.55
56.746 16.95 54.05
53.7766 7.65 54.05
55.994 14.85 54.05
52.2919 -4.35 54.05
55.2613 12.45 54.05
52.9861 5.25 54.05
54.4129 7.65 54.05
50.9037 -4.35 54.05
49.419 -13.95 58.55
56.8231 17.25 54.05
53.8345 7.95 54.05
56.129 15.15 54.05
52.4462 -4.05 54.05
53.1211 5.55 54.05
51.6942 -4.05 54.05
55.2613 12.75 54.05
54.5286 7.95 54.05
50.9615 -4.05 54.05
48.3006 -13.65 58.55
56.2254 15.45 54.05
54.6443 8.25 54.05
55.4349 15.45 54.05
52.4462 -3.75 54.05
53.2175 8.25 54.05
51.7521 -3.75 54.05
49.0526 -13.35 58.55
47.7222 -15.45 58.85
47.0859 -15.45 58.85
48.3392 -15.45 58.85
47.2401 -15.15 58.85
47.8186 -15.15 58.85
48.4742 -15.15 58.85
49.0719 -15.15 58.85
47.2594 -14.85 58.85
47.8764 -14.85 58.85
48.4742 -14.85 58.85
49.149 -14.85 58.85
47.3558 -14.55 58.85
47.9343 -14.55 58.85
48.5899 -14.55 58.85
47.3944 -14.25 58.85
48.0307 -14.25 58.85
48.6863 -14.25 58.85
53.1789 7.35 54.35
53.1789 5.25 54.35
47.4908 -13.95 58.85
48.1078 -13.95 58.85
48.7441 -13.95 58.85
48.2235 -13.65 58.85
53.2946 7.95 54.35
47.5872 -13.65 58.85
48.8791 -13.65 58.85
56.6496 17.55 54.35
47.6836 -13.35 58.85
48.3006 -13.35 58.85
48.9755 -13.35 58.85
53.1982 8.25 54.35
56.4761 17.85 54.35
52.909 5.85 54.35
47.0473 -13.35 58.85
53.4296 8.25 54.35
55.8591 14.55 53.75
55.8783 14.85 53.75
55.8976 15.15 53.75
55.8591 15.45 53.75
57.0545 10.65 58.25
57.1124 8.85 55.25
56.9774 15.75 50.75
53.2175 5.85 50.45
53.1789 6.75 50.45
53.3139 6.45 50.45
57.1702 8.85 54.95
57.016 8.55 54.95
Run 14942
Subrun 120
Event 1200011
22.0968 -0.75 58.55
47.6643 -3.15 76.55
20.7278 -0.45 58.55
24.4685 1.95 63.05
26.7823 -7.65 45.05
19.8987 -0.45 72.05
27.5921 -7.35 40.55
26.8787 -12.15 18.05
21.7305 -0.15 58.55
23.4851 -2.25 54.05
42.7089 -11.85 72.05
23.3308 -1.95 54.05
42.7475 -11.55 72.05
21.8654 1.05 58.55
46.9895 -1.35 76.55
47.7607 -3.15 76.85
26.8208 -12.75 18.35
20.5928 -0.15 72.35
27.6114 -7.35 40.85
19.7059 -0.15 72.35
21.6148 -2.55 58.85
24.4492 2.25 63.35
23.408 -2.25 54.35
27.9584 -6.75 49.85
23.3116 -16.35 76.85
42.9789 -11.55 72.35
3.22004 -6.45 36.35
21.8847 1.05 58.85
46.8738 -1.35 76.85
21.9426 -1.05 57.95
46.546 -3.45 75.95
46.7967 -3.45 75.95
47.1244 -3.45 75.95
24.4299 1.65 62.45
20.1108 -0.45 71.45
21.904 -0.45 57.95
41.9377 -12.45 71.45
42.1883 -12.15 71.45
29.7324 -9.75 48.95
23.6394 -2.25 53.45
19.9951 0.15 71.45
27.6307 -7.05 39.95
28.9804 -7.05 53.45
45.9097 -4.65 75.95
45.9097 -2.25 75.95
19.0696 -11.55 30.95
27.1872 -11.55 17.45
45.9483 -4.35 75.95
40.453 -11.55 71.45
19.9758 0.45 71.45
18.8768 -11.25 30.95
46.0832 -1.65 75.95
46.0061 -1.35 75.95
47.3944 -3.45 76.25
45.9675 -3.45 76.25
47.1823 -3.45 76.25
46.0832 -3.15 76.25
