Run 14989
Subrun 399
Event 3990012
23.2284 15.45 41.75
9.61072 -1.65 14.75
21.014 12.75 37.25
18.8599 10.05 32.75
18.8147 9.75 32.75
12.3373 2.55 19.25
16.766 7.35 28.25
16.6756 7.05 28.25
12.2619 2.25 19.25
14.3709 4.35 23.75
13.2562 1.95 19.25
10.0024 -0.45 14.75
11.8552 -0.75 14.75
9.24918 -3.15 14.75
10.379 -0.75 14.75
12.3975 1.65 19.25
9.14374 -3.45 14.75
10.7104 -1.05 14.75
9.77642 -1.35 15.05
21.1647 12.75 37.55
18.9503 10.05 33.05
16.8263 7.35 28.55
12.4277 2.55 19.55
14.6571 4.65 24.05
11.6594 -0.15 15.05
12.5632 1.95 19.55
10.5145 -0.45 15.05
11.7046 -0.45 15.05
10.1229 -0.45 15.05
12.0812 1.95 19.55
13.3767 1.95 19.55
11.9757 -0.75 15.05
10.4995 -0.75 15.05
10.9062 -0.75 15.05
23.3941 15.75 42.05
8.64663 -1.35 14.15
25.2168 17.85 45.65
11.4636 1.05 14.15
12.036 3.45 18.65
22.9422 15.15 41.15
20.7579 12.45 36.65
10.2886 0.15 14.15
20.7278 12.15 36.65
12.0209 2.25 18.65
18.4984 9.45 32.15
16.4045 6.75 27.65
10.3639 -0.45 14.15
14.2353 4.05 23.15
9.76135 -3.15 14.15
13.1055 1.65 18.65
10.2434 -1.05 14.15
12.1414 1.35 18.65
14.0094 3.75 23.15
11.5238 -1.05 14.15
13.0754 1.35 18.65
11.7799 -1.05 14.15
13.8888 1.35 18.65
8.84246 -1.35 14.45
23.1682 15.45 41.45
9.50527 -1.65 14.45
23.0627 15.15 41.45
20.8182 12.45 36.95
18.7093 9.75 32.45
10.3639 0.15 14.45
16.5551 7.05 27.95
12.1414 2.25 18.95
10.4242 -0.15 14.45
14.4161 4.35 23.45
9.91199 -2.85 14.45
13.1658 1.65 18.95
10.3187 -0.75 14.45
12.3071 1.65 18.95
14.2202 4.05 23.45
10.153 -0.75 14.45
9.35463 -3.15 14.45
11.5991 -1.05 14.45
11.7197 -1.05 14.45
10.4392 -1.05 14.45
13.7834 1.35 22.55
13.9642 3.75 27.05
16.1032 4.05 27.05
18.2423 6.75 31.55
11.8703 -0.15 18.05
20.4115 9.45 36.05
22.656 14.85 40.55
24.9156 17.55 45.05
11.102 0.75 18.05
11.8552 1.05 18.05
12.8796 3.45 22.55
13.7382 3.45 22.55
8.51106 -1.35 18.05
11.4786 1.05 18.05
15.9526 3.75 26.75
18.0916 6.45 31.25
18.1519 6.75 31.25
11.8251 -0.15 17.75
20.291 9.45 35.75
22.43 14.55 40.25
24.7047 17.25 44.75
10.9062 0.45 17.75
11.2376 0.75 17.75
11.6895 0.75 17.75
12.8193 3.15 22.25
23.2736 15.15 44.75
13.6026 3.45 22.25
13.7985 3.45 22.25
22.8669 15.45 44.75
8.2851 -1.35 17.75
12.8193 3.45 22.25
23.605 17.85 44.75
23.4092 17.85 44.75
11.7648 1.05 17.75
17.7151 6.15 30.35
19.8391 8.85 34.85
11.0568 -0.75 16.85
11.7046 -0.45 16.85
22.0082 13.95 39.35
10.4242 -0.15 16.85
24.313 16.65 43.85
10.8008 0.15 16.85
13.0151 2.85 21.35
11.328 0.45 16.85
12.5482 2.85 21.35
13.4219 2.85 21.35
15.4856 5.55 25.85
7.99889 -11.25 43.85
13.2562 3.15 21.35
15.6061 5.85 25.85
19.6733 8.55 34.55
11.0267 -1.05 16.55
11.6142 -0.45 16.55
10.2886 -0.45 16.55
24.1021 16.35 43.55
21.9179 13.95 39.05
13.3465 2.25 21.05
24.1473 16.65 43.55
10.62 -0.15 16.55
10.3639 -0.15 16.55
12.4578 2.55 21.05
12.8193 2.55 21.05
13.1658 2.55 21.05
11.1472 0.15 16.55
10.7706 0.15 16.55
13.226 2.85 21.05
13.0754 2.85 21.05
12.9097 2.85 21.05
15.3802 5.55 25.55
7.9085 -11.25 43.55
13.1055 3.15 21.05
17.5192 8.25 30.05
14.3408 4.35 25.55
14.0395 4.65 26.45
14.2202 4.35 25.85
14.2052 4.35 26.15
14.1449 4.65 26.15
