Run 14989
Subrun 399
Event 3990012
23.2284 -2.4 27.6
9.61072 -19.5 0.6
21.014 -5.1 23.1
18.8599 -7.8 18.6
18.8147 -8.1 18.6
12.3373 -15.3 5.1
16.766 -10.5 14.1
16.6756 -10.8 14.1
12.2619 -15.6 5.1
14.3709 -13.5 9.6
13.2562 -15.9 5.1
10.0024 -18.3 0.6
11.8552 -18.6 0.6
9.24918 -21 0.6
10.379 -18.6 0.6
12.3975 -16.2 5.1
9.14374 -21.3 0.6
10.7104 -18.9 0.6
9.77642 -19.2 0.9
21.1647 -5.1 23.4
18.9503 -7.8 18.9
16.8263 -10.5 14.4
12.4277 -15.3 5.4
14.6571 -13.2 9.9
11.6594 -18 0.9
12.5632 -15.9 5.4
10.5145 -18.3 0.9
11.7046 -18.3 0.9
10.1229 -18.3 0.9
12.0812 -15.9 5.4
13.3767 -15.9 5.4
11.9757 -18.6 0.9
10.4995 -18.6 0.9
10.9062 -18.6 0.9
23.3941 -2.1 27.9
8.64663 -19.2 0
25.2168 0 31.5
11.4636 -16.8 0
12.036 -14.4 4.5
22.9422 -2.7 27
20.7579 -5.4 22.5
10.2886 -17.7 0
20.7278 -5.7 22.5
12.0209 -15.6 4.5
18.4984 -8.4 18
16.4045 -11.1 13.5
10.3639 -18.3 0
14.2353 -13.8 9
9.76135 -21 0
13.1055 -16.2 4.5
10.2434 -18.9 0
12.1414 -16.5 4.5
14.0094 -14.1 9
11.5238 -18.9 0
13.0754 -16.5 4.5
11.7799 -18.9 0
13.8888 -16.5 4.5
8.84246 -19.2 0.3
23.1682 -2.4 27.3
9.50527 -19.5 0.3
23.0627 -2.7 27.3
20.8182 -5.4 22.8
18.7093 -8.1 18.3
10.3639 -17.7 0.3
16.5551 -10.8 13.8
12.1414 -15.6 4.8
10.4242 -18 0.3
14.4161 -13.5 9.3
9.91199 -20.7 0.3
13.1658 -16.2 4.8
10.3187 -18.6 0.3
12.3071 -16.2 4.8
14.2202 -13.8 9.3
10.153 -18.6 0.3
9.35463 -21 0.3
11.5991 -18.9 0.3
11.7197 -18.9 0.3
10.4392 -18.9 0.3
13.7834 -16.5 8.4
13.9642 -14.1 12.9
16.1032 -13.8 12.9
18.2423 -11.1 17.4
11.8703 -18 3.9
20.4115 -8.4 21.9
22.656 -3 26.4
24.9156 -0.3 30.9
11.102 -17.1 3.9
11.8552 -16.8 3.9
12.8796 -14.4 8.4
13.7382 -14.4 8.4
8.51106 -19.2 3.9
11.4786 -16.8 3.9
15.9526 -14.1 12.6
18.0916 -11.4 17.1
18.1519 -11.1 17.1
11.8251 -18 3.6
20.291 -8.4 21.6
22.43 -3.3 26.1
24.7047 -0.6 30.6
10.9062 -17.4 3.6
11.2376 -17.1 3.6
11.6895 -17.1 3.6
12.8193 -14.7 8.1
23.2736 -2.7 30.6
13.6026 -14.4 8.1
13.7985 -14.4 8.1
22.8669 -2.4 30.6
8.2851 -19.2 3.6
12.8193 -14.4 8.1
23.605 0 30.6
23.4092 0 30.6
11.7648 -16.8 3.6
17.7151 -11.7 16.2
19.8391 -9 20.7
11.0568 -18.6 2.7
11.7046 -18.3 2.7
22.0082 -3.9 25.2
10.4242 -18 2.7
24.313 -1.2 29.7
10.8008 -17.7 2.7
13.0151 -15 7.2
11.328 -17.4 2.7
12.5482 -15 7.2
13.4219 -15 7.2
15.4856 -12.3 11.7
7.99889 -29.1 29.7
13.2562 -14.7 7.2
15.6061 -12 11.7
19.6733 -9.3 20.4
11.0267 -18.9 2.4
11.6142 -18.3 2.4
10.2886 -18.3 2.4
24.1021 -1.5 29.4
21.9179 -3.9 24.9
13.3465 -15.6 6.9
24.1473 -1.2 29.4
10.62 -18 2.4
10.3639 -18 2.4
12.4578 -15.3 6.9
12.8193 -15.3 6.9
13.1658 -15.3 6.9
11.1472 -17.7 2.4
10.7706 -17.7 2.4
13.226 -15 6.9
13.0754 -15 6.9
12.9097 -15 6.9
15.3802 -12.3 11.4
7.9085 -29.1 29.4
13.1055 -14.7 6.9
17.5192 -9.6 15.9
14.3408 -13.5 11.4
14.0395 -13.2 12.3
14.2202 -13.5 11.7
14.2052 -13.5 12
14.1449 -13.2 12
13.8888 -16.5 8.7
11.3732 -18.9 4.2
13.0001 -16.5 8.7
12.0511 -18.9 4.2
14.0997 -14.1 13.2
16.2388 -13.8 13.2
14.16 -13.8 13.2
16.3141 -13.5 13.2
18.4231 -10.8 17.7
11.9607 -18 4.2
20.5772 -8.1 22.2
22.7464 -3 26.7
11.2828 -16.8 4.2
11.5389 -16.8 4.2
8.55625 -19.2 4.2
12.6385 -14.4 8.7
25.0963 0 31.2
25.0963 0 35.7
15.8471 -14.1 12.3
23.846 -2.1 30.3
17.9561 -11.4 16.8
23.9213 -1.8 30.3
20.0951 -8.7 21.3
24.0117 -1.5 30.3
11.7498 -18.3 3.3
11.795 -18 3.3
22.3246 -3.6 25.8
24.2979 -0.9 30.3
11.1171 -17.7 3.3
24.5691 -0.9 30.3
11.087 -17.4 3.3
24.6143 -0.6 30.3
10.7857 -17.4 3.3
13.3767 -14.7 7.8
12.7139 -14.7 7.8
11.5991 -17.1 3.3
23.0778 -2.7 30.3
13.693 -14.4 7.8
13.5574 -14.4 7.8
23.0175 -2.4 30.3
8.13446 -19.2 3.3
15.8019 -12 12.3
17.8356 -11.7 16.5
19.9746 -9 21
8.52612 -20.7 3
11.7347 -18.3 3
11.0719 -18.3 3
20.0349 -8.7 21
11.0719 -18 3
22.2191 -3.6 25.5
8.23991 -20.4 3
11.7648 -18 3
10.5748 -17.7 3
24.4335 -0.9 30
11.6443 -17.7 3
11.1171 -17.7 3
8.08927 -20.1 3
10.846 -17.7 3
11.5389 -17.4 3
10.9363 -17.4 3
12.6235 -15 7.5
8.10433 -19.8 3
13.211 -15 7.5
13.5424 -14.7 7.5
13.3315 -14.7 7.5
11.569 -17.1 3
15.6664 -12 12
8.10433 -19.2 3
19.583 -9.3 20.1
21.7522 -4.2 24.6
23.9816 -1.5 29.1
10.1982 -18.3 2.1
10.2283 -18.3 2.1
11.5539 -18.3 2.1
10.6652 -18.3 2.1
13.3014 -15.6 6.6
10.5145 -18 2.1
10.7104 -18 2.1
12.3523 -15.6 6.6
13.2712 -15.3 6.6
12.6988 -15.3 6.6
12.3523 -15.3 6.6
12.9097 -15.3 6.6
11.0568 -17.7 2.1
13.0754 -15.3 6.6
