Run 15124
Subrun 18
Event 180011
10.04 -12.15 13.65
9.2 -12.45 13.65
8.92 -12.75 13.65
9.98 -12.15 13.95
9.42 -12.45 13.95
8.9 -12.75 13.95
10.08 -12.15 14.25
9.54 -12.45 14.25
10.28 -12.15 14.55
9.26 -12.45 14.55
10.88 -11.85 15.15
10.64 -12.15 15.15
9.32 -12.45 15.15
10.68 -12.15 16.05
9.36 -12.45 16.05
8.76 -12.75 16.05
10.12 -12.15 16.35
9.38 -12.45 16.35
9.96 -12.15 17.25
9.4 -12.45 17.25
8.8 -12.75 17.25
9.9 -12.75 17.25
10.36 -12.15 17.55
9.36 -12.45 17.55
8.82 -12.75 17.55
12.44 -11.55 13.65
11.06 -11.85 13.65
12.5 -11.55 14.55
11.34 -11.85 14.55
12.18 -11.55 14.85
11.3 -11.85 14.85
11.14 -11.85 15.75
11.96 -11.55 16.05
11.36 -11.85 16.05
12.6 -11.55 16.95
11.16 -11.85 16.95
11 -12.15 16.95
10.74 -12.45 16.95
12.6 -11.55 17.25
11.1 -11.85 17.25
12.08 -11.55 17.55
11.2 -11.85 17.55
12.38 -11.55 17.85
11.5 -11.85 17.85
